30;13;3479030;2620095;13439347
30;14;3707442;2533702;12479798
30;15;3622852;2594115;13104110
30;16;3638362;2529442;11324414
30;17;3339847;2432502;11116288
30;18;3774439;2661931;10532204
30;19;3486180;2500737;11168249
30;20;3407399;2478947;11697017
30;21;3262460;2475384;10704712
30;22;3361967;2409315;10698148
30;23;3274776;2511981;9206966
30;24;3384485;2473499;12381532
30;25;3452858;2518197;13517779


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
31;1;3400478;2469028;11307373
31;2;3779104;2453245;14997018
31;3;3660189;2558705;12616967
31;4;3651281;2597118;10399087
31;5;3386690;2446540;8765011
31;6;3629913;2531677;9718694
31;7;3573198;2563455;9296503
31;8;3206533;2458134;9888827
